"dataset_id","survey_type_cd","survey_method_cd","dataset_type_cd","source_dataset_id","survey_width_m","who_created","date_created","share_level","admin_notes","import_notes","usgs_priority","noaa_priority","action_required","action_taken","discrete_time_unit","noaa_import_priority","funded","at_usgs","in_db","start_date","end_date","number_of_records","parent_project","qual_rpt","meta_std","resp_party","comments","sponsors","url_program","planned_speed_knots","area_covered_km2","progress","subject","keywords","title","version","abstract","purpose"
22,"a","cts","ot        ","MassAudNanAerial",,,,5,,,,0,,,,,,"1","1",8/19/2002 0:00:00,3/29/2006 0:00:00,41154,,"This dataset has very good coverage for Nantucket Sound, but flight heights were reported to be quite high, limiting potential identification of some species.  Data from several survey days has problems with incorrect times matched to observations, which needs to be rectified before this dataset can be used.",,10,,,,,,"Complete","seabird survey","tern, seabird, Nantucket Sound, Cape Cod, Horseshoe Shoal","Mass Audubon - Nantucket Sound Seabird survey",1,"Survey seabirds in Nantucket Sound to assess the potential effect of wind farm development on avifauna in Nantucket sound.  Surveys were conducted from fixed-wing aircraft at 500 feet above the water surface and by boat.","To survey seabirds in Nantucket Sound to determine abundance and distribution."
23,"b","go","og        ","Patteson",,,,5,,,,0,,,,,,"1","1",8/8/1992 0:00:00,7/30/2006 0:00:00,25286,,"Seabird data are likely very reliable, but data were collected not using standard survey techniques.  Furthermore, the use of chum and chasing of seabirds may bias certain species.  Still, the temporal length of this dataset and identification skills of the boat operator and quides makes this an important and high quality dataset.",,32,"This data was obtained from Brian Patteson via Becky Hylton with permission from Brian Patteson.   A. Gilbert entered this data from the paper records. Data were entered as LORAN-C pairs.",,,,,"Complete?","pelagic seabird tour","pelagic seabird trips, Cape Hatteras, Gulf Stream","Brian Patteson Seabirding Pelagic Trips",1,"These data were collected during pelagic seabird trips off of Cape Hatteras, NC. Seabird, marine mammal and sea turtle data were collected and documented usually in 30 minute blocks during the duration of each trip.  Trips were mostly run from May to September, but a few trips during other months exist.","Document seabirds and marine mammals found off Cape Hatteras, NC."
24,"b","go","og        ","SargassoSea04",,,,5,,,,0,,,,,,"1","1",6/1/2004 0:00:00,6/21/2004 0:00:00,168,"SargassoSea","Seems to be good quality survey data.","FGDC",28,"This dataset includes survey effort and sightings during includes (on effort) and during focal follows of sperm whale schools (off effort). The survey track was recorded by logging a position every 10 minutes using the vessel's GPS.",,,,,"Complete","seabird and marine mammal survey","seabrids; Sargasso Sea; North Carolina","Sargasso cruise - bird sightings",1,"The Sargasso Sea cruise surveyed marine birds and mammals in the Northeast Atlantic Ocean, during the summer of 2004. This survey onboard the Valiant 40 ocean-going research vessel Balaena, consisted of two survey legs: a sail from Halifax, Nova Scotia to Beaufort, NC (May 5 - 27), and a round-trip from Beaufort, NC to offshore waters north of the Bahamas (June 2 - 22). Seabirds were surveyed during the second leg of this cruise by Lesley Thorne, a graduate student from the Duke University Marine Laboratory.","The Sargasso Sea cruise surveyed marine birds and mammals in the Sargasso Sea, Atlantic Ocean, during the summer of 2004."
25,"b","dts","ot        ","NewEnglandSeamount06",,,,5,,,,0,,,,,,"1","1",10/31/2006 0:00:00,6/26/2007 0:00:00,1024,,"Good quality seabird data, although outside of area of interest.",,16,"A quick description of the data:
Each survey or watch is 10-min in duration.  The first column is a unique identifier for the watch.  You will see that there are several lines for some watches, which means multiple species or ages were seen for that survey.  Platform speed is in knots, Observation Height is in metres, InTransect refers to whether the sighting was within the 300m transect (for birds on water) or within the 300m transect AND observed during a snapshot (for flying birds).  For density calculations we only use sightings for which this column reads TRUE.",,,,,"Complete","seabird and marine mammal survey","seabird survey, seamount","New England Seamount Chain",1,"Seabird surveys were conducted in the Sargasso November 2006 (not many hours, as the weather was very challenging!) and May & June 2007 for several days to and from the New England Seamount Chain. These were done for the Canadian Wildlife Service and all data were handed over to them for their database.",
28,"b","go","og        ","SargassoSea06",,,,5,,,,0,,,,,,"1","1",5/9/2006 0:00:00,6/23/2006 0:00:00,100,"SargassoSea","Observations only, not a survey focused on seabirds so of limited use.",,34,"Wind direction and speed (Beaufort scale) are also included. However, 
we also do
an ""environmental report"" every 3 hours, which includes swell and wave height. I wrote in the
logbook all the birds I saw during a one-hour period. The position 
given is the
position at the end of that one hour. Our watches were two hours long, so
usually I would watch for birds for an entire 2 hours (or longer if I did it
during other people's watches). But if we were with whales, or I was 
busy doing
something else on watch, I didn't write anything down (or said it was 
partial).",,,,,"Complete","seabird observations","Seamounts, acoustic recording, seabird observations","Sargasso Sea 2006",1,"A trip to Kelvin and Manning Seamounts to deploy some acoustic recording devices.  Seabird observations were made when time permitted and were not done as surveys, but more casual observations. Observations were recorded hourly, although they may not have been made for a full hour in some circumstances.  Locations are avalailable for every 10 minutes in May and every hour in June.","A trip to Kelvin and Manning Seamounts to deploy some acoustic recording devices."
29,"b","cts","ot        ","SEFSC1992",,,,5,,,,0,,,,,,"1","1",1/4/1992 0:00:00,2/10/1992 0:00:00,1258,"SEFSC","Good quality data collected as continuous record observations, although we believe that marine mammals and not bird were a priority and therefore some birds may have been missed.","FGDC",30,"Accessed via OBIS-SeaMap website.",,,,,"Complete","seabird and marine mammal survey","marine mammals, pelagic apex predators, seabirds, Blake Plateau","SEFSC Atlantic surveys, 1992",1,"An Atlantic Ocean ship survey was conducted by NOAA Southeast Fisheries Science Center to study marine mammals and pelagic apex predators. The primary area of operation was in the Blake Plateau area of the Atlantic Ocean between 28 degree and 35 degree North latitude and from the coastal boundary to the Exclusive Economic Zone. During 28 survey days, at least 10 cetacean species were sighted, including Atlantic spotted dolphin, Cuvier's beaked whale, Dwarf sperm whale, False killer whale, Pantropical spotted dolphin, Pygmy killer whale, Globicephala sp., Sperm whale, Spinner dolphin, and Standard Bottlenose dolphin. The dataset is accompanied by transect data which is provided as a separate file.","To document and study marine mammals and pelagic apex predators"
30,"b","cts","ot        ","SEFSC1998",,,,5,,,,0,,,,,,"1","1",7/9/1998 0:00:00,8/20/1998 0:00:00,1073,"SEFSC","Good quality data collected as continuous record observations, although we believe that marine mammals and not bird were a priority and therefore some birds may have been missed.","FGDC",30,"Accessed via OBIS-SeaMap website.",,,,,"Complete","seabird and marine mammal survey","marine mammals, seabirds","SEFSC Atlantic surveys, 1998",1,"Summer Atlantic Ocean Marine Mammal Survey; NOAA Ship Relentless Cruise RS 98-01 (3).","marine mammal survey"
31,"b","cts","ot        ","SEFSC1999",,,,5,,,,0,,,,,,"1","1",8/9/1999 0:00:00,9/25/1999 0:00:00,1247,"SEFSC","Good quality data collected as continuous record observations, although we believe that marine mammals and not bird were a priority and therefore some birds may have been missed.","FGDC",30,"Accessed via OBIS-SeaMap website.",,,,,"Complete","seabird and marine mammal survey","marine mammals, seabirds","SEFSC Atlantic surveys, 1999",1,"An Atlantic Ocean ship survey was conducted by NOAA Southeast Fisheries Science Center to evaluate abundance, distribution and stock structure of cetaceans in southeastern U.S. Atlantic waters. Data gathered on this survey will provide abundance estimates for calculating the Potential Biological Removal for U.S. Atlantic waters as required by the 1994 amendments to the Marine Mammal Protection Act. During the 32 survey days, at least 12 cetacean species were sighted, including Atlantic spotted dolphin Bottlenose dolphin Clymene dolphin Common dolphin Fraser's dolphin Melon-headed whale Pantropical spotted dolphin Pilot whale Risso's dolphin Rough-toothed dolphin Sperm whale Striped dolphin The dataset is accompanied by transect data which is provided as a separate file."," to evaluate abundance, distribution and stock structure of cetaceans in southeastern U.S. Atlantic waters"
32,"b","byc","og        ","NOAABycatch",,,,5,,,,0,,,,,,"1","1",8/10/1989 0:00:00,7/13/2005 0:00:00,2860,,"These data are bycatch only and therefore represent only what was reported by observers and brought on board. Many seabirds were not ID'd to species and this data is therefore of lower quality.",,19,,"NOAA",,,,"Complete?","seabird loss survey","seabird, bycatch, entanglement, commerical fisheries","Seabird bycatch - Northwest Atlantic",1,"The objectives of this program include: estimates of takes of protected species and discards of fishery resources, biological sampling of the catch, design and monitoring of conservation gear, monitoring of experimental fisheries, economic information on revenue and costs, gear performance and characteristics, and foreign fishery monitoring.","The objectives of this program include: estimates of takes of protected species and discards of fishery resources"
33,"b","cts","ot        ","EcoMonMay07",300,,,5,,,,0,,,,,,"1","1",5/23/2007 0:00:00,6/3/2007 0:00:00,3750,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.   While the observations have been validated, the transect information lacks time and other effort information.  We are waiting to receive this data to be able to complete this dataset.",,11,"The objectives of the investigation are 1) to monitor the fishery-relevant components of the Northeast Shelf ecosystem, to characterize the baseline conditions and their variability, and to index the seasonal, annual, and decadal changes in the conditions of the ecosystem, and 2) to determine the effects of biological and  physical processes on the recruitment of Northeast shelf fishes, especially gadoids. The investigation utilizes three survey approaches to gather data on planktonic organisms and environmental parameters: 1) shelf-wide Research Vessel Surveys, and 2) Ship of Opportunity (SOOP) Transect Surveys and 3) sampling using a variety of environmental satellites and buoys (termed Remote Sensing Surveys).. Data generated by these surveys are analyzed by Center and outside scientists to determine zooplankton abundance, distribution and biomass estimates, time series of zooplankton abundances, and to establish baseline indices for zooplankton and hydrography in the northeastern US continental shelf ecosystem.",,,,,"Complete","seabird survey","NOAA, NMFS, seabirds","EcoMon May 2007",1,"Seabird surveys conducted aboard NOAA research vessel while monitoring fishery-relevant baseline ecosystem data in the Northeast Shelf Ecosystem.","Survey seabirds in the Northeast Shelf Ecosystem."
34,"b","cts","ot        ","HerringAcoustic07",300,,,5,,,,0,,,,,,"1","1",10/16/2007 0:00:00,10/25/2007 0:00:00,5896,"HerringAcoustic","These data are of high quality, gathered using standard seabird survey techniques and modern GPS positioning equipment.  Continuous track information was recorded. While the observations have been validated, the transect information lacks time and other effort information.  We are waiting to receive this data to be able to complete this dataset.",,11,,,,,,"Complete","seabird survey","seabirds, NOAA","Acoustic Herring survey 2007",1,"Seabird surveys conducted during NOAA research cruises during 2007 as part of National Marine Fisheries Service Acoustic Herring survey in the Gulf of Maine.",
35,"b","cts","ot        ","HerringAcoustic08",300,,,5,,,,0,,,,,,"1","1",9/4/2008 0:00:00,10/9/2008 0:00:00,3619,"HerringAcoustic","These data are of high quality, gathered using standard seabird survey techniques and modern GPS positioning equipment.  Continuous track information was recorded.",,11,"Data were received as a single Microsoft Excel data file with mixed observation and GPS track position information recorded using the survey program DLOG (R.G. Ford Consulting, Portland, OR).  Data were initially transferred to a Microsoft Access database for initial standardization and formatting.  These data were standardized for date/time and species codes and cleaned for data-entry errors when possible.  Data were then imported into ArcGIS for further processing.  Observation data were separated into an observation point featureclass for GIS and sampling effort data was created from positional information.  An ArcObjects GISprogram was developed  to generate transects from the GPS positional data, creating variable distance/time transects for periods of continuous survey periods and identifying off-survey periods (e.g., fish sampling stations, CTD casts, etc.).  Observation points were linked to transects when they occurred during survey periods.",,,,,"Complete","seabird survey","NOAA, NMFS, seabirds","Acoustic Herring survey 2008",1,"Seabird surveys conducted during NOAA research cruises during 2008 as part of National Marine Fisheries Service Acoustic Herring survey in the Gulf of Maine.","Seabird and marine mammal surveys."
38,"b","cts","ot        ","EcoMonJan09",300,,,5,,,,0,,,,,,"1","1",1/29/2009 0:00:00,2/12/2009 0:00:00,1959,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  While the observations have been validated, the transect information lacks time and other effort information.",,11,,,,,,"Complete","seabird and marine mammal survey","seabird, ecomonitoring, cetaceans","EcoMon January 2009",1,"Seabird and marine mammal surveys conducted aboard the NOAA EcoMon cruise during January 2009.","Conduct seabird and marine mammal surveys during the NOAA EcoMon cruise of January 2009."
39,"b","cts","ot        ","EcoMonMay09",300,,,5,,,,0,,,,,,"1","1",5/28/2009 0:00:00,6/9/2009 0:00:00,2885,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  The observations have been validated and sampling effort data is available.",,11,,,,,,"Complete","seabird and marine mammal survey","seabirds, cetaceans, EcoMonitoring Cruise","EcoMon May 2009",1,"Seabird and marine mammal surveys conducted aboard the NOAA EcoMon cruise during May 2009.","Survey seabirds in the Northeast Shelf Ecosystem."
42,"b","cts","ot        ","EcoMonAug09",300,,,5,,,,0,,,,,,"1","1",8/17/2009 0:00:00,8/28/2009 0:00:00,1429,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  The observations have been validated and sampling effort data is available.",,11,,,,,,"Complete","seabird and marine mammal survey","seabirds, cetaceans, EcoMonitoring Cruise","EcoMon August 2009",1,"Seabird and marine mammal surveys conducted aboard the NOAA EcoMon cruise during August 2009.","Conduct seabird surveys of the northeast shelf ecosystem."
43,"g","cbc","og        ","AudubonCBC_MA2Z",,,,,,,,0,,,,,,"1","1",12/1/1948 0:00:00,12/31/1948 0:00:00,19,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - at sea off Monomoy Point [MA2Z]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
46,"g","cbc","og        ","AudubonCBC_MASB",,,,,,,,0,,,,,,"1","1",12/1/1988 0:00:00,12/31/2004 0:00:00,1222,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete?","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Stellwagen Bank [MASB]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center."," The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
47,"g","cbc","og        ","AudubonCBC_MD15",,,,,,,,0,,,,,,"1","1",12/1/1979 0:00:00,12/31/1980 0:00:00,31,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Baltimore Canyon [MD15]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
48,"g","cbc","og        ","AudubonCBC_MD19",,,,,,,,0,,,,,,"1","1",12/1/1982 0:00:00,12/31/1982 0:00:00,15,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Baltimore Canyon [MD19]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
49,"g","cbc","og        ","AudubonCBC_MDBH",,,,,,,,0,,,,,,"1","1",12/1/1980 0:00:00,12/31/2004 0:00:00,2432,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Baltimore Harbor [MDBH]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
50,"g","cbc","og        ","AudubonCBC_MDJB",,,,,,,,0,,,,,,"1","1",12/1/1982 0:00:00,12/31/2004 0:00:00,2287,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete?","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Jug Bay [MDJB]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
